filename,size_bytes
AIM_T_EVS_INQUIRY_212.dat,160613620
AIM_T_EVS_INQUIRY_213.dat,160629398
AIM_T_EVS_INQUIRY_214.dat,160557592
AIM_T_EVS_INQUIRY_215.dat,160501081
AIM_T_EVS_INQUIRY_216.dat,160762867
AIM_T_EVS_INQUIRY_217.dat,160463407
AIM_T_EVS_INQUIRY_218.dat,160757876
AIM_T_EVS_INQUIRY_219.dat,160445858
AIM_T_EVS_INQUIRY_21.dat,160714084
AIM_T_EVS_INQUIRY_220.dat,160266826
AIM_T_EVS_INQUIRY_221.dat,160632618
AIM_T_EVS_INQUIRY_222.dat,160517020
AIM_T_EVS_INQUIRY_223.dat,160507843
AIM_T_EVS_INQUIRY_224.dat,160415268
AIM_T_EVS_INQUIRY_225.dat,160720363
AIM_T_EVS_INQUIRY_226.dat,160270046
AIM_T_EVS_INQUIRY_227.dat,160867034
AIM_T_EVS_INQUIRY_228.dat,160572726
AIM_T_EVS_INQUIRY_229.dat,160368578
AIM_T_EVS_INQUIRY_22.dat,160729862
AIM_T_EVS_INQUIRY_230.dat,160691544
AIM_T_EVS_INQUIRY_231.dat,160536179
AIM_T_EVS_INQUIRY_232.dat,160502369
AIM_T_EVS_INQUIRY_233.dat,160366485
AIM_T_EVS_INQUIRY_234.dat,160680918
AIM_T_EVS_INQUIRY_235.dat,160290976
AIM_T_EVS_INQUIRY_236.dat,160476770
AIM_T_EVS_INQUIRY_237.dat,160455196
AIM_T_EVS_INQUIRY_238.dat,160490616
AIM_T_EVS_INQUIRY_239.dat,160484820
AIM_T_EVS_INQUIRY_23.dat,160409955
AIM_T_EVS_INQUIRY_240.dat,160603960
AIM_T_EVS_INQUIRY_241.dat,160499954
AIM_T_EVS_INQUIRY_242.dat,160495607
AIM_T_EVS_INQUIRY_243.dat,160571760
AIM_T_EVS_INQUIRY_244.dat,160718753
AIM_T_EVS_INQUIRY_245.dat,160256683
AIM_T_EVS_INQUIRY_246.dat,160323498
AIM_T_EVS_INQUIRY_247.dat,160532154
AIM_T_EVS_INQUIRY_248.dat,160659666
AIM_T_EVS_INQUIRY_249.dat,160400617
AIM_T_EVS_INQUIRY_24.dat,160503818
AIM_T_EVS_INQUIRY_250.dat,160536018
AIM_T_EVS_INQUIRY_251.dat,160580132
AIM_T_EVS_INQUIRY_252.dat,160659505
AIM_T_EVS_INQUIRY_253.dat,160819700
AIM_T_EVS_INQUIRY_254.dat,160525553
AIM_T_EVS_INQUIRY_255.dat,160408828
AIM_T_EVS_INQUIRY_256.dat,160383229
AIM_T_EVS_INQUIRY_257.dat,161024493
AIM_T_EVS_INQUIRY_258.dat,160362782
AIM_T_EVS_INQUIRY_259.dat,160306271
AIM_T_EVS_INQUIRY_25.dat,160504945
AIM_T_EVS_INQUIRY_260.dat,160617645
AIM_T_EVS_INQUIRY_261.dat,160962346
AIM_T_EVS_INQUIRY_262.dat,160615391
AIM_T_EVS_INQUIRY_263.dat,160569667
AIM_T_EVS_INQUIRY_264.dat,160492709
AIM_T_EVS_INQUIRY_265.dat,160700238
AIM_T_EVS_INQUIRY_266.dat,160657251
AIM_T_EVS_INQUIRY_267.dat,160361977
AIM_T_EVS_INQUIRY_268.dat,160726320
AIM_T_EVS_INQUIRY_269.dat,160520240
AIM_T_EVS_INQUIRY_26.dat,160629559
AIM_T_EVS_INQUIRY_270.dat,160579810
AIM_T_EVS_INQUIRY_271.dat,160742581
AIM_T_EVS_INQUIRY_272.dat,160465822
AIM_T_EVS_INQUIRY_273.dat,160557592
AIM_T_EVS_INQUIRY_274.dat,160363426
AIM_T_EVS_INQUIRY_275.dat,160061712
AIM_T_EVS_INQUIRY_276.dat,160222551
AIM_T_EVS_INQUIRY_277.dat,160499954
AIM_T_EVS_INQUIRY_278.dat,160450366
AIM_T_EVS_INQUIRY_279.dat,160880397
AIM_T_EVS_INQUIRY_27.dat,160657412
AIM_T_EVS_INQUIRY_280.dat,160483371
AIM_T_EVS_INQUIRY_281.dat,160724549
AIM_T_EVS_INQUIRY_282.dat,160594944
AIM_T_EVS_INQUIRY_283.dat,160593817
AIM_T_EVS_INQUIRY_284.dat,160618450
AIM_T_EVS_INQUIRY_285.dat,160565320
AIM_T_EVS_INQUIRY_286.dat,160501886
AIM_T_EVS_INQUIRY_287.dat,160541653
AIM_T_EVS_INQUIRY_288.dat,160492387
AIM_T_EVS_INQUIRY_289.dat,160458577
AIM_T_EVS_INQUIRY_28.dat,160503174
AIM_T_EVS_INQUIRY_290.dat,160460831
AIM_T_EVS_INQUIRY_291.dat,160435715
AIM_T_EVS_INQUIRY_292.dat,160289205
AIM_T_EVS_INQUIRY_293.dat,160536340
AIM_T_EVS_INQUIRY_294.dat,160839020
AIM_T_EVS_INQUIRY_295.dat,160662081
AIM_T_EVS_INQUIRY_29.dat,160624407
AIM_T_EVS_INQUIRY_2.dat,160517503
AIM_T_EVS_INQUIRY_30.dat,160424928
AIM_T_EVS_INQUIRY_31.dat,160495929
AIM_T_EVS_INQUIRY_32.dat,160619899
AIM_T_EVS_INQUIRY_33.dat,160542458
AIM_T_EVS_INQUIRY_34.dat,160805371
AIM_T_EVS_INQUIRY_35.dat,160792491
AIM_T_EVS_INQUIRY_36.dat,160610078
AIM_T_EVS_INQUIRY_37.dat,160574336
AIM_T_EVS_INQUIRY_38.dat,160483371
AIM_T_EVS_INQUIRY_39.dat,160529578
